gene,AC-like,Astrocyte,B_cell,CD4_CD8,DC,Endothelial,MES-like,Mast,Mono,Mural_cell,NK,NPC-like,Neuron,Neutrophil,OPC,OPC-like,Oligodendrocyte,Plasma_B,RG,TAM-BDM,TAM-MG
ABLIM1,1.452084829697955,47.55666251556662,0.081671057583741,0.4282701456667811,0.0475668566418237,5.048461935040385,1.1745004649044577,0.0490196078431372,0.0205763323418986,0.5619821283509342,0.2116788321167883,0.544957753583589,3.228720874940561,0.0017588430721125,1.8545918367346936,0.621038754711241,0.0625163116580675,0.0427738172391445,0.0191780821917808,0.0284462505555908,0.0172676789328335
ABR,0.8030771557101274,8.62640099626401,0.0462928114414753,0.1436068468291726,0.4967119684348969,0.3914761986595635,0.6848801685041462,0.1605392156862745,0.7701253108391438,0.2264825345247766,0.119961916851793,0.8490899155071672,2.4002219052147726,0.0332225913621262,1.5932888540031398,0.7017847786773033,0.1200939551504687,0.0648088139987038,0.0587795765877957,1.3155046258772731,1.244160194610331
ABRAXAS1,0.3267531092881715,0.8605230386052304,0.0425291682348513,0.066653587718868,0.092393686979395,0.1147963567623303,0.2136283420937778,0.034313725490196,0.1183870495879857,0.1658813972380178,0.0637892732465883,0.3605447896086426,0.0987478205737834,0.0056673832323627,0.0860675039246467,0.2495225379011949,0.0988536668607335,0.0654569021386908,0.0458281444582814,0.1128288257330997,0.0824302363837572
ABRAXAS2,0.3592938419082901,0.5840597758405978,0.0383891607075649,0.0826131737701701,0.1687856203419553,0.172366385976972,0.1956678494848099,0.0686274509803921,0.1775318153005997,0.2508529650690495,0.0653760710885433,0.5283114044306192,0.2616896497067681,0.0062536642564002,0.2161695447409733,0.2910575151689286,0.1707654935656782,0.0965651328580687,0.0313823163138231,0.1928301703562878,0.1559026150763187
ACAA1,2.7286281329149813,8.199252801992529,0.1155438464433571,0.2997694835450488,1.381411661551951,0.4583261728819385,1.7066452873868574,0.2438725490196078,0.7256082695402019,0.5384240454914704,0.4979371628054586,2.6825843877422337,0.4848628942780155,0.0433847957787766,1.205690737833595,1.7990349350144506,1.4940876513219972,0.4264419961114711,0.0318804483188044,0.7271386045052347,0.5439418561757874
ACAA2,1.8645597852795524,14.017434620174344,0.0748964998118178,0.3248516356859091,0.4207584392810171,0.5301598212751332,0.8807093113721323,0.1605392156862745,0.6286752157589351,0.5704305442729488,0.5950491907331006,1.8758669973517168,0.0255190996988429,0.0156341606410005,0.5113814756671899,1.4360031774468875,0.5658187950452711,0.3253402462734931,0.1957658779576588,0.6288541195892923,0.4669700806556135
ACACB,0.2819642384606661,4.650062266500623,0.0101618366578848,0.0295453430771494,0.0189609820254274,0.2997078535830899,0.1980492988481755,0.025735294117647,0.0381296016383051,0.10268074735987,0.0066645509362107,0.0754760603640338,0.2052623236646061,0.0017588430721125,0.2329670329670329,0.1345429039836395,0.2986288169279878,0.0395333765392093,0.0074719800747198,0.0401033865829016,0.0219983450146057
ACAD9,0.8107889464332968,3.647571606475716,0.0237109522017312,0.0576585413703467,0.1258220078912757,0.1605086784670905,0.5407502988671512,0.0318627450980392,0.2258520649470964,0.2451665312753858,0.0695017454776261,0.8239522468367733,0.6273577429069583,0.0209106898573382,0.7978806907378336,0.5955769263271756,0.3720864869205597,0.086195722618276,0.0259028642590286,0.2005393433009752,0.1602594139756537
ACADM,2.4204135636789776,6.474470734744707,0.15205118554761,0.2262298298101917,0.4725997369574748,0.6444406255370339,1.2461052391885994,0.1801470588235294,0.374396606367936,0.5460601137286759,0.2551570929863535,2.959119761234184,0.7696940878110635,0.0130936095368379,0.970486656200942,1.765992867645816,0.7763746963522113,0.8165910563836681,0.1531755915317559,0.4459778958888146,0.3435091672233133
ACADS,0.2766037878501493,3.820672478206725,0.0210764019570944,0.0631909362891755,0.1235203857957036,0.0926275992438563,0.2399286513975597,0.0992647058823529,0.1783607196840411,0.0817221770917952,0.1025071405902888,0.2397326495439068,0.0889205896338563,0.0060582372483877,0.1527472527472527,0.2365507799956056,0.228443516492341,0.1088788075178224,0.0024906600249066,0.1523794227831459,0.1014276741473335
ACADVL,3.287422976600008,26.88418430884184,0.1208129469326307,0.2977487861101574,0.8461201227531784,1.1996906684997422,2.765915861781058,0.3553921568627451,1.351650494904676,1.8115353371242893,0.3830529990479213,1.9975408802387655,0.89396100808369,0.0406488176666015,1.8509419152276292,1.8379671100444503,1.0519965469474617,1.5910563836681788,0.1997509339975093,1.095300168451405,0.6052161949293641
ACAP2,1.1934147355687446,10.716064757160648,0.2389913436206247,0.5562313011918191,0.9610916264796142,1.2625880735521566,1.1435985502571206,0.3137254901960784,1.1011263347798528,0.9629569455727052,0.2862583306886702,0.981441002143848,1.8828657473450623,0.1979675591166699,2.020879120879121,1.1054219412848378,1.2088494509244947,0.4018146467919637,0.0403486924034869,1.0197958413792847,0.8106337796476676
ACAP3,0.8160889124106907,0.4396014943960149,0.0297327813323296,0.04978174505861,0.0736519070583077,0.1324969926104141,0.3285071822994744,0.0588235294117647,0.1105368374859817,0.1896019496344435,0.0349095525230085,1.0758333683635293,1.261055634807418,0.0068399452804377,2.1981946624803768,1.1643737218381869,0.561482403485174,0.1944264419961114,0.0418430884184308,0.0726208573466849,0.0534630070885217
ACAT1,2.231882962234907,7.251556662515567,0.0876928867143394,0.2098582569032321,0.3039237176676896,0.7174772297645644,1.2703656615875063,0.096813725490196,0.3986054902725632,0.7429731925264013,0.1069501745477626,3.411618815418891,0.7722301474084641,0.015047879616963,1.237205651491366,1.9567241874693664,1.1342073036076368,0.5988334413480233,0.0958904109589041,0.5556505921944624,0.390805858249504
ACAT2,2.994662231126904,4.418430884184309,0.0575837410613473,0.1867771837755652,0.1864313897413415,0.1550094517958412,0.8955767661625458,0.0833333333333333,0.1589546052952362,0.5205523964256702,0.146302761028245,3.6691327924671056,0.2536059597400539,0.0209106898573382,3.2366169544740973,2.2926208866428923,0.8032161570737387,0.1458198314970836,0.4276463262764632,0.2552318914739684,0.159431921278526
ACBD5,0.9596945526027294,3.7745952677459527,0.0383891607075649,0.1375055176811025,0.3499561595791319,0.5069599587557999,0.5299246665022107,0.0870098039215686,0.3513335608757131,0.2981316003249391,0.1294827039035226,1.1495228887300852,0.3401489935013473,0.0275552081297635,0.7031397174254317,0.7486014163300488,0.9014273955551988,0.2248865845755022,0.150186799501868,0.3863550626930561,0.2602763626212576
ACBD6,2.193482780781008,1.9676214196762143,0.1166729394053443,0.3020256020403158,0.3588338448049101,0.5280976112734147,1.4610903432702709,0.1458333333333333,0.3635964698425081,0.7025182778229082,0.194224055855284,3.22434738744798,2.4509430971627832,0.0173930037131131,2.074332810047096,2.363488093024828,1.1918250988737429,0.3648736228127025,0.1285180572851805,0.4138003159864492,0.3263411862057964
ACD,0.6646807545457982,1.5890410958904109,0.0474219044034625,0.1024277796851243,0.1304252520824199,0.1529472417941227,0.4937475094404068,0.0637254901960784,0.0997854600419328,0.2427294882209585,0.1037765788638527,1.0804573542393543,0.2101759391345696,0.0136798905608755,0.3283751962323391,0.5170280730812784,0.1696010921282447,0.0881399870382372,0.0749688667496886,0.1091273769016146,0.0655812886952533
ACE,0.0053680111896571,0.1021170610211706,0.0045163718479488,0.0056304870273186,0.0070144673388864,2.337171335280976,0.0044592876525171,0.0220588235294117,0.0829879565068994,0.0830219333874898,0.0019041574103459,0.0100886964563453,0.0290061816452686,0.0029314051201876,0.0147174254317111,0.0059323609444453,0.0025094858565377,0.0071289695398574,0.0019925280199252,0.0329283278490137,0.0113406378672621
