gene,AC-like,AC-like_Prolif,Astrocyte,B_cell,CD4_INF,CD4_rest,CD8_EM,CD8_NK_sig,CD8_cytotoxic,DC1,DC2,DC3,Endo_arterial,Endo_capilar,MES-like_hypoxia_independent,MES-like_hypoxia_MHC,Mast,Mono_anti-infl,Mono_hypoxia,Mono_naive,NK,NPC-like_OPC,NPC-like_Prolif,NPC-like_neural,Neuron,OPC,OPC-like,OPC-like_Prolif,Oligodendrocyte,Pericyte,Perivascular_fibroblast,Plasma_B,Prolif_T,RG,Reg_T,SMC,SMC_COL,SMC_prolif,Scavenging_endothelial,Scavenging_pericyte,Stress_sig,TAM-BDM_INF,TAM-BDM_MHC,TAM-BDM_anti-infl,TAM-BDM_hypoxia_MES,TAM-MG_aging_sig,TAM-MG_pro-infl_I,TAM-MG_pro-infl_II,TAM-MG_prolif,Tip-like,VLMC,cDC1,cDC2,pDC
ANKRD6,0.384263397607798,0.1212121212121212,4.052023121387284,0.0056,0.0033783783783783,0.0325977933801404,0.006328446366417,0.0040632054176072,0.0036591279813075,0.0,0.0163934426229508,0.0083036773428232,0.118942731277533,0.1033210332103321,0.0585525052793242,0.3882808035518045,0.0107238605898123,0.0279458882164471,0.0070842654735272,0.0312764158918005,0.0498192044997991,0.4902082962435464,0.2761634774391684,1.8822556390977443,63.27272727272727,4.161290322580645,1.0323149884195435,0.9652948402948404,0.0325294447560291,0.1261538461538461,0.0256410256410256,0.0157342657342657,0.0034843205574912,0.0078375489846811,0.0303030303030303,0.057471264367816,0.0,0.0434782608695652,0.1102362204724409,0.25,0.0126319758672699,0.0545260156806842,0.0227313406121353,0.0766576086956521,0.0567334688740439,0.0385004671441918,0.0346805024576734,0.0443914448376673,0.0091089108910891,1.32,0.036144578313253,0.0,0.0279352226720647,0.0
ANLN,0.7951091814583068,7.1098161098161095,0.1271676300578034,0.012,0.0033783783783783,0.0040120361083249,0.0194072355236789,0.0126410835214446,0.0222192831636026,0.0109090909090909,0.0,0.026097271648873,0.5462555066079295,0.1808118081180811,0.0770781339988481,0.6392808475097806,0.0294906166219839,0.0316838732645069,0.0570469798657718,0.1002535925612848,0.0699075934110084,0.9087591240875912,2.64020789038507,0.4123308270676691,9.136363636363637,0.032258064516129,3.1402338149332745,2.4748157248157248,22.254627033090298,0.1907692307692307,0.358974358974359,0.2167832167832167,0.2330623306233062,0.035981474884218,0.1411080501989592,0.0229885057471264,0.2876712328767123,1.5,1.031496062992126,2.2555555555555555,0.0365761689291101,0.0577334283677833,0.0143189547163057,0.1908967391304347,0.6238745280278827,0.1076767362192463,0.0188421627525942,0.0209262963532851,0.0108910891089108,0.0228571428571428,0.0843373493975903,0.0289855072463768,0.0052631578947368,0.0
ANO4,0.0336908866470863,0.0023310023310023,0.0057803468208092,0.0,0.0,0.0002507522567703,0.0012656892732834,0.0,0.0003526870343428,0.0,0.0,0.0,0.0176211453744493,0.0,0.006239201382223,0.065013846762495,0.0053619302949061,0.0001779992880028,0.000372856077554,0.0025359256128486,0.0004017677782241,0.1280042727434573,0.0926057169855894,1.013984962406015,25.227272727272727,21.594758064516128,0.3131134884746884,0.160012285012285,2.3032609566541145,0.0138461538461538,0.0256410256410256,0.0017482517482517,0.0,0.0285001781261132,0.0027548209366391,0.0459770114942528,0.0136986301369863,0.0217391304347826,0.0393700787401574,0.0388888888888888,0.0,0.0007127583749109,0.0012529085376767,0.0050815217391304,0.0010649627263045,0.0007785736530675,0.0015474239941744,0.005616248653639,0.0001980198019801,0.0,0.0,0.0,0.0,0.0
ANO6,1.889690546120121,1.3128723128723128,9.572254335260116,0.0224,0.0418074324324324,0.1256268806419258,0.3208522307773441,0.0645598194130925,0.1063351408543843,0.12,0.0327868852459016,0.0913404507710557,0.7973568281938326,0.4649446494464944,0.5708389326166251,2.183041012791771,0.032171581769437,0.6009255962976148,0.732662192393736,0.2779374471682164,0.1112896745680996,0.5998753783158269,0.2525395700448854,0.7524812030075188,0.1818181818181818,12.574596774193548,1.8302084482188157,2.467137592137592,0.0766765483534973,1.1446153846153846,15.948717948717947,0.0402097902097902,0.0944638017808749,0.0085500534378339,0.1940618304254668,0.2241379310344827,0.8767123287671232,0.4239130434782608,1.1181102362204725,1.9166666666666667,0.0895550527903469,0.2865288667141838,0.5715052801145516,0.6611684782608696,0.8270887791654565,0.3417938336966677,0.3134898962315674,0.2067241114017541,0.1273267326732673,2.137142857142857,0.1566265060240964,0.2318840579710145,0.3234817813765182,0.0632183908045977
ANP32B,5.430362235559528,11.041440041440042,4.184971098265896,0.8648,1.0394847972972974,1.029839518555667,1.1770910241535704,0.8641083521444696,1.109994268835692,2.7563636363636363,1.9672131147540983,2.182680901542112,1.6651982378854626,2.2583025830258303,1.2312344019965444,4.449778012220317,1.1313672922252012,2.239943040227839,2.5380313199105147,1.852240067624683,1.6062675773402972,8.316183015844757,6.801795416961966,5.505263157894737,25.772727272727277,11.42741935483871,13.494926657108197,10.552211302211305,2.6475442672862752,1.6676923076923076,9.974358974358974,2.0611888111888117,4.437862950058072,0.1022443890274314,4.063666972757882,1.442528735632184,3.287671232876712,5.391304347826087,7.007874015748032,10.694444444444445,1.47473604826546,1.9214777856973155,2.519778056201897,2.799429347826087,5.07909768612644,1.9452662721893488,1.5190242126342617,0.9636097861209416,0.6578217821782179,2.3485714285714288,0.3253012048192771,3.282608695652174,2.7587044534412954,1.5459770114942528
ANPEP,0.0106627506065636,0.0129500129500129,0.1965317919075144,0.004,0.0027449324324324,0.0015045135406218,0.0037970678198502,0.000902934537246,0.0016752634131287,0.9163636363636364,0.360655737704918,0.395017793594306,0.0352422907488986,0.011070110701107,0.0601842964100595,0.0254516682051958,0.0589812332439678,2.7369170523317905,7.688665175242356,1.6887573964497042,0.0060265166733627,0.013708385259035,0.0030711079612567,0.0159398496240601,0.0,0.2358870967741935,0.0402558729458475,0.0027641277641277,0.00689047351975,2.686153846153846,3.41025641025641,0.0384615384615384,0.0038714672861014,0.0,0.0407101316192225,0.3735632183908046,0.3835616438356164,0.6413043478260869,0.0629921259842519,0.3222222222222222,0.0052790346907993,0.1411261582323592,0.4419187399319849,0.7466847826086956,3.28366734437022,0.0380333229523512,0.0121973420717276,0.0029235266964148,0.0392079207920792,0.0628571428571428,0.0963855421686747,1.7826086956521738,0.825506072874494,0.0172413793103448
ANTXR2,0.8046013706210361,0.5317275317275317,3.7803468208092488,0.076,0.1524493243243243,0.1469408224674022,0.1842632633688429,0.0284424379232505,0.1648371026760128,0.1963636363636363,0.7868852459016393,0.5172004744958482,0.5903083700440529,0.025830258302583,0.1702822038779036,0.4657347575717614,2.1474530831099194,0.5074759700961197,0.8031319910514542,0.3511411665257819,0.0245078344716753,0.4173046110023144,0.0755965036617056,1.853684210526316,0.0454545454545454,2.776209677419355,1.415958972096614,1.096130221130221,0.0624949923884304,0.7984615384615384,28.897435897435894,0.0664335664335664,0.1122725512969415,0.006056287851799,0.3538414447505356,0.1034482758620689,0.7534246575342466,1.5543478260869563,0.5275590551181102,0.9944444444444444,0.2158748114630467,0.1028747921121406,0.2065509217827098,0.1645380434782608,0.3252977054893988,0.0291186546247275,0.0526124158019297,0.0324665333128173,0.0021782178217821,0.2171428571428571,0.0843373493975903,0.5072463768115942,0.2153846153846154,0.603448275862069
ANXA1,18.488081556208236,8.717171717171718,1.115606936416185,0.1712,3.957347972972973,2.295636910732197,6.823119924058644,2.884875846501129,3.65917206718688,2.469090909090909,0.6557377049180327,1.3451957295373669,6.4801762114537445,4.033210332103321,8.158379727394893,40.448942810673,18.67024128686327,12.260234959060163,28.87621178225205,14.371259509721048,1.6319807151466452,1.2475520740608863,0.5641389085754784,0.3392481203007518,0.0,0.1290322580645161,21.088342340355133,30.48003685503685,0.5121384504446759,10.718461538461538,244.05128205128204,2.6031468531468533,2.994192799070848,0.0,6.848484848484849,5.655172413793103,12.246575342465754,7.815217391304348,6.141732283464567,11.255555555555556,7.007164404223228,7.409954858636255,9.753534991945587,9.39328804347826,28.1854971439636,1.9314465898474,2.287638813034772,0.7785043852900446,0.7051485148514851,9.354285714285714,4.204819277108434,2.5942028985507246,10.84412955465587,0.1034482758620689
ANXA2,20.46105222832333,20.537684537684537,5.809248554913295,0.5496,1.6896114864864864,1.3671013039117352,1.571564180993566,0.6875846501128668,1.7527223030463344,7.196363636363636,7.80327868852459,2.958481613285884,8.651982378854626,5.014760147601476,12.079381839124592,39.16541386434569,0.4289544235924933,13.891064435742257,29.29269202087994,10.062721893491124,1.165930092406589,11.94837101655688,3.8712497047011576,3.256541353383459,0.2272727272727272,9.211693548387096,15.136980258078747,14.86455773955774,4.671500681035173,11.186153846153848,423.2307692307692,3.617132867132867,3.3604336043360434,0.8200926255789098,8.516988062442607,10.885057471264368,25.534246575342465,17.652173913043477,5.456692913385827,9.988888888888887,1.7944947209653093,8.444167260631978,9.52836942903168,8.974728260869565,30.91548068544874,2.2596153846153846,2.855634443837612,0.6534082166487152,1.574851485148515,16.068571428571428,2.8072289156626504,6.731884057971015,8.304858299595141,0.913793103448276
ANXA4,1.6755203677691226,0.7026677026677026,5.890173410404624,0.1392,0.1570945945945946,0.1173520561685055,0.1339521147558274,0.1376975169300225,0.1314200061720231,0.8072727272727273,0.7868852459016393,0.2419928825622775,0.2995594713656387,0.2472324723247232,0.315319639086197,1.98131786012572,2.493297587131367,1.4711641153435386,1.3046234153616705,0.6084530853761623,0.1028525512253917,0.4767669574505964,0.1138672336404441,1.6,6.727272727272728,4.108870967741935,1.195433991397375,1.3826781326781328,1.3200865315279224,0.5276923076923077,23.97435897435897,0.2237762237762237,0.2276422764227642,0.0057000356252226,0.6522803795531068,0.4367816091954023,1.3835616438356164,0.9021739130434784,0.5905511811023622,1.0611111111111111,0.1644042232277526,0.8778807317652649,1.1100769643816002,1.0566576086956525,1.7168167295962824,0.984078168794768,0.79865283087566,0.5013848284351439,0.2497029702970297,0.0914285714285714,0.4819277108433735,0.9782608695652174,0.9408906882591092,0.1954022988505747
ANXA5,68.32264929979142,46.24423724423725,69.73410404624278,0.4032,1.063133445945946,0.7189067201604814,2.650775234679886,0.3399548532731377,1.336992461314641,3.4836363636363634,2.098360655737705,1.937129300118624,6.982378854625551,6.0664206642066425,11.090900364753312,58.85959822409776,1.4289544235924934,12.429690281238877,18.086875466070097,6.798647506339814,0.8071514664523906,29.35214527327755,7.940940231514292,24.50646616541353,0.9545454545454546,187.01209677419357,53.606319620602186,28.79576167076167,19.848810191491065,8.244615384615384,139.71794871794873,3.3933566433566438,3.1416957026713126,0.390452440327752,1.8264462809917357,3.2298850574712645,12.136986301369864,10.326086956521738,12.37007874015748,17.094444444444445,1.78921568627451,7.891779520076027,10.14945408985144,13.919972826086957,23.762029238067576,8.204881656804734,6.511833242308392,4.916140944760732,2.04990099009901,19.44,1.7469879518072289,3.152173913043478,8.136437246963563,0.6264367816091954
AOAH,0.0409696505342016,0.0481740481740481,0.0,0.032,0.077491554054054,0.1028084252758274,0.5501529374538551,0.327765237020316,0.6606269012035445,0.4836363636363636,0.1147540983606557,0.1435349940688019,0.0616740088105726,0.033210332103321,0.0107506239201382,0.0371884478438612,0.0268096514745308,3.24937700249199,0.8337061894108874,1.2564666103127642,0.5427882683808759,0.173135125511839,0.0148830616583982,0.1055639097744361,0.3181818181818182,0.0362903225806451,0.1434322267563692,0.1772113022113022,0.073391555163849,0.0138461538461538,0.0,0.3548951048951049,0.259388308168796,0.0,0.1524334251606978,0.0,0.0136986301369863,0.0108695652173913,0.6299212598425197,1.0055555555555555,0.6874057315233786,2.155856497980518,3.031143726507965,3.1294565217391304,0.8746248426759609,2.3262223606353163,1.9032404878936828,1.5474688413602091,0.1534653465346534,0.0,0.0120481927710843,0.5289855072463768,1.4149797570850202,0.0172413793103448
AP1B1,1.5585067892563742,1.8976948976948975,24.38150289017341,0.1248,0.0715793918918918,0.0907723169508525,0.1877439088703723,0.0830699774266365,0.1269232464841511,0.4181818181818181,0.1311475409836065,0.627520759193357,1.47136563876652,0.3985239852398524,0.288827030140142,1.5254296892171084,0.1099195710455764,4.172837308650766,2.41648023862789,0.8431107354184277,0.1169144234632382,1.5149546021007656,0.7852586817859674,3.4073684210526314,39.04545454545455,24.911290322580644,2.9840079408845264,3.2263513513513518,1.1600032048714046,0.1692307692307692,8.435897435897436,0.4335664335664335,0.2005420054200542,0.0309939437121482,0.7165595347413529,0.264367816091954,0.6986301369863014,1.6195652173913044,1.653543307086614,2.088888888888889,0.1308446455505279,3.0340936089332384,2.634508680866297,6.161902173913044,4.185690773550198,4.797648707567736,2.8915892954669578,2.764809970764733,0.540990099009901,0.8742857142857143,0.144578313253012,0.4855072463768116,0.9550607287449392,0.2068965517241379
AP1G1,2.0711275699144425,1.8583268583268584,13.283236994219653,0.0592,0.0559543918918918,0.0654463390170511,0.3375171395422424,0.1485327313769751,0.1357845082220165,0.12,0.081967213114754,0.1969157769869513,0.5066079295154186,0.6273062730627307,0.2794202342100211,2.051123126291265,0.064343163538874,0.535243859024564,0.8225205070842655,0.3612848689771766,0.1036560867818401,1.8128894427630409,0.8185683912119065,4.505714285714285,13.727272727272728,26.318548387096776,3.2689423182971216,2.578009828009828,1.3512539059370243,0.3523076923076923,7.435897435897436,0.4493006993006993,0.148664343786295,0.0302814392589953,0.4860728497092133,0.2183908045977011,0.821917808219178,0.4021739130434782,0.7952755905511811,1.4333333333333331,0.2415158371040724,0.2586124970301734,0.6908895650617505,0.6966304347826087,1.0788072417465389,0.5144425412644036,0.2860913890405971,0.327819664563779,0.0522772277227722,1.1028571428571428,0.0843373493975903,0.2536231884057971,0.3558704453441295,0.1436781609195402
AP1G2,0.4858681309326182,0.3043253043253043,8.855491329479769,0.0888,0.1376689189189189,0.219408224674022,0.4546988714270646,0.2090293453724604,0.2576378785874884,0.4945454545454545,0.3114754098360656,0.5741399762752076,0.0088105726872246,0.022140221402214,0.1973507391053945,0.8079476020923997,1.1823056300268096,0.7443930224279103,0.7408650260999254,0.2884192730346576,0.1719566090799517,0.3281110913298914,0.1282778171509567,1.1628571428571428,76.22727272727273,5.778225806451613,0.6715010477555973,1.4287469287469288,0.2426087653232914,0.04,5.17948717948718,0.8181818181818182,0.2613240418118467,0.0099750623441396,1.3076216712580349,0.0,0.0136986301369863,0.0,0.0157480314960629,0.0222222222222222,0.3420060331825038,0.8608933238298884,0.6590298908179703,1.3215760869565218,1.293252008906961,0.5926891933976954,0.4992718004733297,0.429835359286044,0.0336633663366336,2.4114285714285715,0.0602409638554216,0.4420289855072464,0.6882591093117408,0.1839080459770115
AP1M1,6.371536202273018,5.699041699041699,23.167630057803468,0.0752,0.1005067567567567,0.1263791374122367,0.2714903491192912,0.1340857787810383,0.3560816470484503,0.2909090909090909,0.2131147540983606,0.67497034400949,0.2995594713656387,1.5387453874538746,1.051737377615665,5.8783243219482175,0.1072386058981233,0.4166963332146671,1.1812080536912752,0.2463229078613694,0.1538770590598634,4.341730461100232,2.0075596503661703,10.763007518796991,119.6818181818182,56.22379032258065,7.412374545053491,8.318796068796068,2.43882701706594,2.230769230769231,3.3846153846153846,0.2622377622377622,0.3937282229965156,0.2451015318845743,0.2904805632078359,0.7241379310344828,1.6164383561643836,1.2826086956521738,0.1259842519685039,0.2277777777777777,0.5373303167420814,0.6259206462342599,0.9692142473599428,0.9214402173913044,1.5341272146383969,0.5915213329180941,0.4328235936646641,0.2893522080320049,0.0689108910891089,3.3257142857142856,0.0963855421686747,0.3478260869565217,0.402834008097166,0.1724137931034483
AP1S1,2.5462903843698124,1.963739963739964,1.6647398843930636,0.0712,0.1689189189189189,0.1321464393179538,0.1200295327497099,0.0672686230248307,0.1147996296786139,0.5527272727272727,0.3114754098360656,0.2372479240806643,0.2290748898678414,0.2878228782287823,0.7928585141101939,2.29060618049145,0.1608579088471849,0.3367746529013884,0.2710663683818046,0.1396449704142011,0.1763760546404178,2.7012640199394693,1.694306638317978,4.121353383458646,3.0,4.092741935483871,3.0263593250248157,3.145884520884521,0.8037016264722378,0.4046153846153846,0.6410256410256411,0.3531468531468531,0.3921796360820751,0.3117206982543641,0.2917049280685644,1.103448275862069,2.0136986301369864,0.9021739130434784,0.1102362204724409,0.1722222222222222,0.1619532428355957,0.3916607270135424,0.3608376588509039,0.2725271739130435,0.3926808016264885,0.2839847399563999,0.2704350992171855,0.1027850438529004,0.1766336633663366,0.7371428571428571,0.5180722891566265,0.4565217391304347,0.3121457489878542,0.2528735632183908
AP1S2,12.6788192227472,6.311059311059311,3.398843930635838,0.3088,0.257179054054054,0.1983450351053159,0.5630207783989031,0.4266365688487584,0.3931137856544549,3.2181818181818183,1.3442622950819672,2.524317912218268,2.4008810572687223,1.2583025830258303,1.2918986369744672,7.475801134115786,0.871313672922252,3.632431470274119,6.079418344519016,3.562299239222316,0.2659702691844114,5.287787074951042,3.171273328608552,30.54,341.54545454545456,23.91733870967742,12.840796294253888,8.163390663390663,2.868920759554523,0.5553846153846154,5.0,0.465034965034965,0.4765776229190863,0.2411827573922337,0.4912764003673094,0.4482758620689655,1.095890410958904,1.7934782608695652,3.803149606299213,4.005555555555556,0.2060708898944193,2.2341411261582325,4.114372650796492,2.8777717391304347,6.54884306322006,1.2104095297415136,1.2396686692153651,0.5408524388367442,0.3893069306930693,3.342857142857143,3.27710843373494,3.355072463768116,5.495141700404858,1.5517241379310345
