gene,Allen_Astrocyte,Allen_CGE interneuron,Allen_Committed oligodendrocyte precursor,Allen_Deep-layer corticothalamic and 6b,Allen_Deep-layer intratelencephalic,Allen_Deep-layer near-projecting,Allen_Eccentric medium spiny neuron,Allen_Fibroblast,Allen_Hippocampal CA1-3,Allen_LAMP5-LHX6 and Chandelier,Allen_MGE interneuron,Allen_Medium spiny neuron,Allen_Microglia,Allen_Upper-layer intratelencephalic,Allen_endothelial cell,Allen_pericyte,Allen_vascular associated smooth muscle cell,HRCA_GABAergic amacrine cell,HRCA_H1 horizontal cell,HRCA_H2 horizontal cell,HRCA_Mueller cell,HRCA_OFF midget ganglion cell,HRCA_OFF parasol ganglion cell,HRCA_OFFx cell,HRCA_ON midget ganglion cell,HRCA_ON parasol ganglion cell,HRCA_ON-blue cone bipolar cell,HRCA_S cone cell,HRCA_amacrine cell,HRCA_astrocyte,HRCA_diffuse bipolar 1 cell,HRCA_diffuse bipolar 2 cell,HRCA_diffuse bipolar 3a cell,HRCA_diffuse bipolar 3b cell,HRCA_diffuse bipolar 4 cell,HRCA_diffuse bipolar 6 cell,HRCA_flat midget bipolar cell,HRCA_giant bipolar cell,HRCA_glycinergic amacrine cell,HRCA_invaginating midget bipolar cell,HRCA_microglial cell,HRCA_retinal bipolar neuron,HRCA_retinal cone cell,HRCA_retinal ganglion cell,HRCA_retinal pigment epithelial cell,HRCA_retinal rod cell,HRCA_rod bipolar cell,HRCA_starburst amacrine cell,Mona_B cell,Mona_Schwann cell,Mona_T cell,Mona_astrocyte,Mona_endothelium,Mona_fibroblast,Mona_macrophage,Mona_melanocyte,Mona_microglial cell,Mona_myelinating Schwann cell,Mona_natural killer cell,Mona_pericyte,Mona_pigmented epithelial cell,Mona_vascular associated smooth muscle cell,OPC,Oligodendrocyte
HAUS1,8.34849396647385,38.066813461019,0.378291132855846,19.81752743118,61.9962640489501,4.69457846482792,8.36733605355096,0.973990962755283,15.7737256661693,7.37450300371857,38.1914611139906,38.4219143328568,5.48159794812571,97.003412446909,0.43556137503986,0.241620919588724,0.249545244181248,41.3967241350102,32.0414533892896,33.8439447087358,44.4849816128896,32.9157903602405,36.0405595250877,38.7196506784891,33.0451377332512,32.2583481972325,42.9769853876663,33.3796604139366,46.4520419979533,40.4386529815255,35.5122799913758,32.2493182803576,28.0396059314552,28.3364450466956,23.9740552362825,34.9191805558654,32.2309526057209,32.4326109823774,38.1015631022032,25.2763796745059,38.9172281519421,27.5110460276656,25.5112400210568,32.3392890490723,23.7375611698361,42.3272837603513,24.3167050137793,39.9926028461817,37.258636115252,35.2146407573933,38.4185792036603,43.0620332474485,52.3459927589997,94.3128474417139,40.5616845411051,36.1951724625074,26.9051083029836,26.0910610430729,29.8289293627189,32.1741703028391,39.9149587202624,33.8858468609286,33.03798471294735,36.3477176904247
HAUS2,12.0806765990555,71.5868863711997,0.431918611459932,58.0031909799162,184.190097526643,9.99500249875064,12.6691294723868,0.647877917189898,57.9524622839393,16.1433204511434,75.5756112662927,71.7289267199348,5.9106177769584,303.970694467152,0.315497173067102,0.256722227063019,0.219599814879499,28.7064176829427,27.598458334297,25.8535943510491,26.9789479427141,41.4152018050577,41.9961545403067,23.2091473365213,40.5599228684729,41.6990659251166,21.9882250820618,36.3260648174897,22.4947159687428,37.8230111562318,26.7487418994549,18.6219042483557,28.0140223494009,18.6774735524646,18.9533106841814,29.7744752999548,22.7051115072132,22.5937891988259,25.6884868562799,22.8848135715347,46.202226525212,20.979926292412,38.4509103080882,40.9082053136139,36.5193248766709,59.32903235656,27.3426360733178,25.8198717333104,16.7663862518634,26.9893232082211,18.1725977820488,53.2764500623939,44.9247887222808,28.6330152329961,40.0795248437369,23.7217591831202,29.9104661453382,20.8728488344584,21.7980637650638,23.4603325124869,17.8151510672358,15.1276102057717,28.758431875437097,44.496644116632
HAUS3,3.41186715227074,14.788139572905,0.0826153048765642,13.46629469488,33.792558477142,1.92624105580621,3.12923584611407,0.0913116527583078,16.981068630418,3.1248876721732,13.4474526078028,18.8884675991471,1.77695375050294,64.23992180244,0.0499537190689577,0.0727608451034225,0.0249545244181248,33.8086644100685,54.489929134296,53.171389029423,23.3147663394741,37.818063376453,38.6653191838569,24.9073776294374,36.7634626105566,37.8551254821671,33.3821235336757,24.6179841612657,27.7215627739799,35.2904055793601,29.6748473669091,31.2466003592923,32.6958178653282,35.433538796937,34.4423076274131,31.6379118493397,25.9778785512911,31.2154371534844,30.3481181588325,36.9816525621085,32.2073612291934,30.2712216300645,21.3092786236046,34.5652166109279,31.6500815597814,27.66150140257,30.5965807762751,34.6471783088012,3.7258636115252,4.11265877458607,5.36640471416207,6.58746580035374,4.4394702719658,6.06576404708119,6.44888595230052,2.61718939344284,4.86581745905023,5.21821220861459,4.01543279882754,2.01088564392744,5.18668955122054,4.53828306173152,3.8717990385357295,7.245630080262284
HAVCR2,25.5745097288943,72.0217037652868,0.795715831179539,76.1307281394107,189.515161212897,15.7998147098145,14.8388682688818,0.368145393660479,124.869409842643,20.723397002195,114.630909603203,71.9811208085054,91.9986642409655,366.327856953195,0.141097346843898,0.141403151804764,0.119781717206999,54.3543006992114,63.2851135059309,77.6444516432802,37.2364540686889,122.113967827852,98.9580439771042,68.495288480953,117.728569652567,79.5541914072837,81.5563257589203,36.6362126494426,57.8694709195883,35.6225505730482,44.3201530146217,47.1563913735285,33.5656596551726,35.0180991627766,35.3334897854111,28.7617380448543,76.9587688747863,60.2754623183042,52.7045147735955,33.8221051027952,863.847438683009,32.8499772398174,31.7034400017119,105.957771338734,21.3029395113913,12.7317455743474,24.4354621197266,36.1919569595121,25.1495793777951,35.4716819308049,76.8371584073206,71.7187910871197,35.4495014253985,33.2964789896231,433.341028009726,12.250673756541,451.662350022427,20.8728488344584,286.242995230706,15.4167899367771,52.9944367189925,22.993967512773,40.7575732288148,96.07838569289945
HBB,0.921812875464821,1.19574783373974,0.0579756525449573,1.23198261658034,2.01465392593727,0.324663654251761,0.385538089423966,0.191319653398359,0.95804765830542,0.26523861039318,1.23778018183484,2.35381149332527,0.640630960621778,2.55382749460537,0.785237408522564,0.292416226547717,0.79355387649637,1.46194741787475,2.6787692813313,3.38857790038022,5.08745875491181,1.00290587875709,0.828871471190263,2.66056079223536,0.799738601546531,0.615030470871926,2.19882250820618,2.48118265562363,1.81408999747926,10.0473860590649,3.33989815982144,3.10365070805929,4.17012387484233,3.87743658549775,2.77396136503582,2.83566431428141,3.56986930056163,3.06829236033437,2.41680552137262,3.22139830680387,23.7720999548809,3.60248271111213,2.41760956423563,0.941042546475524,7.91252038994535,5.6542056168635,3.19219100786476,2.45202960430299,42.8474315325397,19.5351291792838,29.8811171584025,1.19189556309902,57.7131135355554,35.3836236079736,31.9430799506474,25.2252509623321,0.858673669244158,57.4003342947605,26.3871298208667,22.1197420832019,90.6543130256808,5.14338746996239,0.532210425687481,1.8011755948959285
HBEGF,2.93066923614759,20.9857368299609,0.418874089637317,7.98614613806787,26.5789379092357,2.57701775562335,3.38432871731188,0.108704348521795,10.8718842434931,4.19598785294129,22.0655333586108,16.4114578441638,0.502938785827505,38.5422138118876,0.461852806128785,0.0562866914951004,0.0998180976724993,14.9751644783542,7.61470977308219,6.3169785550298,41.1676721974844,13.2487197267542,10.0539039561041,3.05681452724914,12.7299387744255,15.1297495834494,7.39603934578444,0.697832621894146,8.06136242629845,28.6890238298092,3.97536550881402,3.81032810004817,3.78637014402862,2.50994778971953,3.17562092920391,4.25349647142211,3.56522707780407,2.86543005551888,7.96902853447906,2.18539661133575,35.2747289653071,3.22668415491698,0.680050174197894,17.6445477464161,3.65193248766709,1.05125113228489,2.08537478043546,6.0810334186714,0.931465902881299,8.73939989599541,2.07338363956262,16.6865378833863,115.161184069799,5.44614298850838,229.749095795977,3.45246260411609,5.43826657187967,15.6546366258438,2.29453302790145,4.69206650249737,4.96118130986313,4.53828306173152,13.639664928542125,30.27968232811855
HCAR2,0.0115951305089915,0.0260890436452308,0.0,0.021740869704359,0.0608744351722052,0.0028987826272478,0.0043481739408718,0.0173926957634872,0.189870262084735,0.0028987826272478,0.0086963478817436,0.0594250438585812,0.021740869704359,0.43481739408718,0.001752762072595,0.0,0.0,0.178849924660966,0.317820084225747,0.0,0.831392069255068,0.117190723840005,0.0153494716887086,0.339646058583238,0.0444299223081406,0.0307515235435963,0.199892955291471,0.155073915976477,0.963735311160856,0.0830362484220237,0.192118035741941,0.124146028322371,0.0767507461627423,0.121169893296805,0.238485366224799,0.324075921632161,0.181046687544738,0.228220092917433,5.08323414823914,0.237094915380765,3.25907821962076,0.298047130775464,0.109182367417093,0.11763031830944,0.0,0.134639734923553,0.912054573675645,0.171642072301209,0.0,0.25704117341163,0.0,0.0,0.132521500655695,0.652232693234536,0.904049432565493,1.0023278528079,0.858673669244158,0.0,0.0,0.0,0.0,0.0,0.22919303661091311,0.020393063691620902
HCAR3,0.0028987826272478,0.0159433044498633,0.0,0.0130445218226154,0.0275384349588547,0.0,0.0043481739408718,0.0072469565681196,0.0536274786040855,0.0043481739408718,0.0043481739408718,0.0159433044498633,0.0159433044498633,0.0405829567814701,0.0008763810362975,0.0013728461340268,0.0,0.152725778362173,0.317820084225747,0.16733718026569,0.679979606311264,0.0148030388008427,0.0,0.339646058583238,0.0183847954378513,0.0307515235435963,0.399785910582943,0.0,0.78232631141293,0.0830362484220237,0.206896346183629,0.171894500754053,0.0511671641084948,0.0692399390267456,0.112966752422273,0.243056941224121,0.171762242029623,0.278935669121307,4.97733343681749,0.0979305085268378,2.87565725260656,0.155502850839372,0.0873458939336744,0.0271454580714093,0.0,0.116068737003063,0.460777571075716,0.245202960430299,0.0,0.25704117341163,0.121963743503684,0.0,0.132521500655695,0.195669807970361,0.301349810855164,0.222739522846199,0.0,0.0,0.0,0.0,0.0,0.0,0.0130445218226154,0.0067976878972069495
HCFC1,12.1328546863459,56.0711523588555,0.334809393447129,27.3079817399885,88.2345949994842,5.71205116699192,10.1196501517223,0.59714922121306,36.6724990173127,10.6008480678454,51.1577158056703,41.6352148751611,4.25251411417262,154.568887250111,0.217342497001781,0.29516191881577,0.334390627202873,34.5290879830006,48.490264279014,46.2268960483969,24.7793377992214,30.1944983940189,26.9076238703061,26.6622155987842,27.3657680092416,26.7845770064724,26.1859771431827,19.190397102089,29.2408631468688,31.512256276158,30.4728761307602,26.5004021995831,35.6890969656752,32.2138816321934,31.6306906782365,30.3010986726071,26.3910363767137,24.4449077302672,32.0198365319885,28.8482661170901,27.9897305920371,32.2020486946534,18.3395182298597,30.4391069840737,20.085628682169,26.5618330257067,25.5517789156317,33.3476026185206,18.629318057626,14.6513468844629,25.1245311617588,31.5403761374913,30.2149021494986,28.0133941744233,25.7955438092021,15.2019724342531,21.0375048964819,46.9639098775313,26.3871298208667,32.1741703028391,25.7079395147453,24.5067285333502,20.173019441537214,24.7232378478961
HCFC1R1,19.8305719530027,128.334904473517,0.627586438799163,112.565526981289,315.635395759197,28.0877542667182,29.9531208873522,1.19574783373974,113.864181598296,33.8896676951548,178.933155232129,138.705299322497,4.62645707308759,386.622234126557,0.361945367990869,1.73527751340993,1.99137104856636,66.7361412699816,61.5273738564375,58.2751730275266,27.0670424666087,96.4652359322584,75.6421964819558,54.8528384611929,84.8105934210945,71.8970620449282,59.368207721567,29.4252755565365,44.7966848752534,36.9926486720116,52.921129691684,47.3760343467142,56.0792118629103,46.3042092241361,51.876843084584,57.5234760897086,42.9219916163756,45.5172296429769,59.9814065155688,44.7439339221831,35.6581499323213,51.8602007549307,26.4158939225127,74.8852703329945,18.2596624383354,33.5432017439595,40.7669393296062,56.5192823791838,6.52026132016909,8.99644106940704,4.14676727912524,32.0402033091135,11.6618920577012,17.1211081974066,11.7526426233514,7.18334961178993,13.7387787079065,20.8728488344584,8.60449885463044,26.1415133710568,15.1090521709468,21.1786542880804,20.53668991615115,52.0831635603417
HCK,0.746436526516325,5.70625360173742,0.0579756525449573,7.06288387128942,19.5885236036275,0.782671309356924,1.02471965873212,0.0405829567814701,3.90755898153012,0.972541571441659,6.79909465220987,4.16700002666881,97.7368044516027,17.8492540272787,0.0227859069437351,0.126301844330469,0.0249545244181248,2.01959746386822,0.706987534298091,0.50201154079707,0.481766927548467,0.810466374346139,0.874919886256389,1.52840726362457,0.81352719812492,0.645781994415523,4.99732388228678,4.8460598742649,1.5986668102786,0.45669936632113,1.35960456063528,4.7652975486818,2.78861044391297,3.44468696658059,1.05435635594122,1.66088909836483,4.25691826868012,2.78935669121307,2.81771535746887,1.66481864495624,511.291859513446,2.15112276994465,1.63149651883256,0.760072825999461,0.0,0.654627676697275,0.997559689957736,0.907250953592105,46.573295144065,6.42602933529074,6.70800589270259,4.62660535783599,16.3664053309784,11.8054117475451,697.444002243192,7.40608913463613,480.427917942106,0.0,7.45723234067971,8.04354257570978,13.0794779987301,8.16890951111673,4.474180015028671,2.903872551369835
HCN1,13.361938520299,1894.34285177597,1.51896209667788,1750.1718978098,5779.94210551338,410.041498972092,410.954615499675,13.3401976505947,3494.48680532124,951.551486437757,4902.20232111323,1320.76218271375,2.93356801877484,9489.12144855648,0.159501348606146,0.13042038273255,0.239563434413998,1071.25478132716,83.5023625371892,108.978338648031,115.665356919708,3003.48846281489,1918.3769716548,156.690048359734,2874.71249351275,2412.61077961285,235.274008378062,6138.60096392883,622.391602010165,103.712274279108,289.433210000456,1112.06192293386,8769.84725953958,4617.80194352598,3216.12578587798,151.546002853239,112.587828539039,937.654930645324,1165.47136870963,469.772649403241,227.176922955918,641.617721134154,6130.89252160233,2475.81960037494,665.260368170021,8739.34978840076,101.285560520375,347.869439962465,13.9719885432195,9.5105234162303,13.0501205548941,33.2449149535362,21.7997868578619,120.434766805757,12.897771904601,281.709811519731,16.7441365502611,2285.57694737319,40.7279612452507,30.1632846589117,16.9131181018061,17.5480278386952,17.49696823674123,19.5020989297334
HCST,0.743537743889078,0.868185396860736,0.0144939131362393,0.676865743462377,2.14220036153617,0.102906783267299,0.182623305516616,0.021740869704359,1.26676800810732,0.286979480097539,0.763829222279813,0.827602440079266,12.0835753816827,2.74224836537648,0.0096401913992725,0.0068642306701342,0.0449181439526247,0.728461771793262,0.564292802604898,0.292840065464958,0.875439331202357,0.540310916230759,0.521882037416092,1.41519191076349,0.412125831065166,0.492024376697541,1.99892955291471,1.43443372278241,1.05443981103482,1.12098935369732,1.30049131886853,1.01226761555164,1.43268059503786,1.00397911588781,1.15477124698324,1.2152847061206,1.1002067935411,1.49610949801428,1.49395646469826,1.33494745833953,97.5806361051158,1.32177423213467,1.21972301885953,0.55195764745199,3.04327707305591,1.59577932131068,1.26832589151769,0.956291545678164,0.931465902881299,2.31337056070467,59.7622343168049,0.935573936626114,1.85530100917974,1.72841663707152,23.4450152845318,1.78191618276959,15.8854628810169,0.0,55.0687926696348,1.34059042928496,2.02957417221673,0.605104408230869,0.377850250786532,0.6316906464864295
HDAC1,46.9515822135337,86.1416739426112,1.02037148479125,7.08317534968016,14.2924477436456,8.70359483831172,15.2360014888148,1.43779618311494,13.2938171285587,16.2665187128014,52.457819813991,21.8379789223718,11.0646532882051,20.7393403066449,0.525828621778503,0.679558836343286,0.464154154177122,23.9990474748718,58.9912993067994,56.936475585401,60.0281591725389,27.5052796785325,32.8939178289025,38.3233969434753,26.7728583563709,11.6855789465666,51.1725965546167,62.0295663905907,27.3814208994526,79.8808709819868,44.5122710503637,34.6844903743733,37.428780545364,35.8143584615841,42.23701354455,47.3961035387036,39.4542512164802,42.4996528588464,29.7770107508086,39.0742729022083,59.0468289201879,47.7782509203972,71.5955575597058,32.4026284512389,85.8204134601765,65.3367501838385,53.3789439812147,26.9723256473328,134.131090014907,59.6335522314981,152.454679379604,138.362413970076,170.290128342569,81.0073004997294,75.216912789449,78.292942280439,63.255626967653,46.9639098775313,125.052050020629,79.7651305424553,71.7116207516579,53.5517401284319,62.24157074792545,86.31892288116345
